model_id,monthly_downloads,total_downloads
NaniDAO/Phi-3-mini-128k-instruct-abliterated-v3-q4f16_1-MLC,0,0
noneUsername/Qwen2.5-14B-Instruct-1M-abliterated-W8A8,4,10
roleplaiapp/Qwen2.5-Coder-14B-Instruct-Uncensored-Q2_K-GGUF,13,156
mradermacher/Llama-3-8B-Uncensored-0.3Z-GGUF,57,1572
mpkmkk/DeepSeek-R1-Distill-Qwen-14B-abliterated-v2-Q4_K_M-GGUF,9,7602
NaniDAO/Meta-Llama-3-8B-Instruct-abliterated-v3-q4f16_1-MLC,0,0
mradermacher/Qwen2.5-7B-Instruct-Uncensored-i1-GGUF,318,10758
mradermacher/Smaug-Llama-3-70B-Instruct-abliterated-v3-GGUF,33,3381
Koitenshin/Huihui-InternVL3-8B-abliterated-GGUF,157,3801
Triangle104/Qwen2.5-1.5B-Instruct-uncensored-Q4_K_M-GGUF,13,379
Cran-May/NQLSG-Qwen2.5-14B-MegaFusion-v5-roleplay-duplicate,3,92
ofer-tal/Qwen3-32B-Uncensored-4bpw-exl2,0,0
Novaciano/Judas-The-Uncensored-3.2-1B-Q5_K_M-GGUF,0,389
mradermacher/DeepSeek-R1-Distill-Qwen-32B-abliterated-i1-GGUF,293,58078
Triangle104/phi-4-abliterated-Q4_K_S-GGUF,1,189
ZYXue/Llama-3-7b-uncensor-augmentation-sanitized-alpha02,0,37
mradermacher/Qwen2.5-7B-Instruct-Uncensored-Flux-i1-GGUF,269,28932
GeorgyGUF/gemma-3-12b-it-abliterated.q8-but-attn_k-is-bf16.gguf,3,138
Triangle104/Qwen3-18B-A3B-Stranger-Thoughts-IPONDER-Abliterated-Uncensored-Q3_K_M-GGUF,10,89
Zoyd/failspy_Phi-3-medium-4k-instruct-abliterated-v3-6_0bpw_exl2,5,10
Triangle104/mlabonne_Qwen3-0.6B-abliterated-4_K_S-GGUF,2,60
mav23/WizardLM-13B-Uncensored-GGUF,87,2901
AlignmentResearch/robust_llm_oskar-038b_clf_jailbreaks_Qwen2.5-3B_s-0,NaN,NaN
mradermacher/RolePlayLake-7B-GGUF,53,1551
imi2/llama-3-120B-Instruct-abliterated-merged,1,214
Triangle104/Falcon3-1B-Instruct-abliterated-Q4_K_S-GGUF,20,157
mradermacher/dp_roleplay_v3-GGUF,36,2886
Triangle104/Sky-T1-32B-Preview-abliterated-Q8_0-GGUF,6,131
llm-semantic-router/jailbreak_classifier_modernbert-base_model,2097,14139
nightmedia/huizimao-gpt-oss-20b-uncensored-mxfp4-q4-hi-mlx,136,1665
aaronday3/WizardLM-2-7B-abliterated-Q3_K_M-GGUF,5,628
Triangle104/Huihui-EXAONE-Deep-2.4B-abliterated-Q4_K_M-GGUF,10,102
mradermacher/Llama-3.1-Uncensored-New-i1-GGUF,40,7642
Nexesenex/Llama_3.x_70b_L3.3-calme-2.3_abliterated_fusion,2,9
